Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit1,https://exhibit.it.stjschools.org/content/PNG/Exhibit1.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit2,https://exhibit.it.stjschools.org/content/PNG/Exhibit2.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit3,https://exhibit.it.stjschools.org/content/PNG/Exhibit3.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit4,https://exhibit.it.stjschools.org/content/PNG/Exhibit4.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit5,https://exhibit.it.stjschools.org/content/PNG/Exhibit5.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit6,https://exhibit.it.stjschools.org/content/PNG/Exhibit6.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit7,https://exhibit.it.stjschools.org/content/PNG/Exhibit7.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit8,https://exhibit.it.stjschools.org/content/PNG/Exhibit8.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit9,https://exhibit.it.stjschools.org/content/PNG/Exhibit9.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
Exhibit10,https://exhibit.it.stjschools.org/content/PNG/Exhibit10.png,00:00:10,1:00:00,1/1/22 0:00,12/31/99 23:59,yes
,,,,,,
,,,,,,
